Ceiling type,Deck construction,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Total Price
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tar and gravel,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Tile,White,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,No,Wood shakes,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Asphalt shingles,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Membrane,White,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Metal,White,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tar and gravel,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Tile,White,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,No,Yes,Wood shakes,White,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Asphalt shingles,Light,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,nan
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,R-7
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,R-11
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,R-13
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,R-15
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,R-19
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,R-21
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,R-25
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,R-28
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,R-30
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,R-38
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,R-44
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,R-50
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Dark,nan,R-56
Ceiling under attic or attic knee wall,nan,FHA vented,Yes,nan,Membrane,Light,nan,nan
